Date,rf_monthly
2015-01-31,0.000025
2015-02-28,0.000017
2015-03-31,0.000025
2015-04-30,0.000017
2015-05-31,0.000017
2015-06-30,0.000017
2015-07-31,0.000025
2015-08-31,0.000058
2015-09-30,0.000017
2015-10-31,0.000017
2015-11-30,0.000100
2015-12-31,0.000191
2016-01-31,0.000216
2016-02-29,0.000258
2016-03-31,0.000241
2016-04-30,0.000191
2016-05-31,0.000225
2016-06-30,0.000225
2016-07-31,0.000250
2016-08-31,0.000250
2016-09-30,0.000241
2016-10-31,0.000275
2016-11-30,0.000374
2016-12-31,0.000424
2017-01-31,0.000424
2017-02-28,0.000432
2017-03-31,0.000615
2017-04-30,0.000664
2017-05-31,0.000739
2017-06-30,0.000813
2017-07-31,0.000887
2017-08-31,0.000838
2017-09-30,0.000854
2017-10-31,0.000887
2017-11-30,0.001019
2017-12-31,0.001093
2018-01-31,0.001167
2018-02-28,0.001299
2018-03-31,0.001406
2018-04-30,0.001455
2018-05-31,0.001537
2018-06-30,0.001570
2018-07-31,0.001619
2018-08-31,0.001676
2018-09-30,0.001758
2018-10-31,0.001856
2018-11-30,0.001921
2018-12-31,0.001954
2019-01-31,0.001954
2019-02-28,0.001970
2019-03-31,0.001978
2019-04-30,0.001962
2019-05-31,0.001938
2019-06-30,0.001791
2019-07-31,0.001733
2019-08-31,0.001611
2019-09-30,0.001562
2019-10-31,0.001365
2019-11-30,0.001274
2019-12-31,0.001274
2020-01-31,0.001258
2020-02-29,0.001258
2020-03-31,0.000241
2020-04-30,0.000117
2020-05-31,0.000108
2020-06-30,0.000133
2020-07-31,0.000108
2020-08-31,0.000083
2020-09-30,0.000092
2020-10-31,0.000083
2020-11-30,0.000075
2020-12-31,0.000075
2021-01-31,0.000067
2021-02-28,0.000033
2021-03-31,0.000025
2021-04-30,0.000017
2021-05-31,0.000017
2021-06-30,0.000033
2021-07-31,0.000042
2021-08-31,0.000042
2021-09-30,0.000033
2021-10-31,0.000042
2021-11-30,0.000042
2021-12-31,0.000050
2022-01-31,0.000125
2022-02-28,0.000275
2022-03-31,0.000366
2022-04-30,0.000631
2022-05-31,0.000813
2022-06-30,0.001233
2022-07-31,0.001840
2022-08-31,0.002166
2022-09-30,0.002572
2022-10-31,0.003048
2022-11-30,0.003394
2022-12-31,0.003474
2023-01-31,0.003707
2023-02-28,0.003795
2023-03-31,0.003827
2023-04-30,0.004010
2023-05-31,0.004186
2023-06-30,0.004202
2023-07-31,0.004273
2023-08-31,0.004313
2023-09-30,0.004329
2023-10-31,0.004345
2023-11-30,0.004289
2023-12-31,0.004265
2024-01-31,0.004249
2024-02-29,0.004265
2024-03-31,0.004265
2024-04-30,0.004265
2024-05-31,0.004273
2024-06-30,0.004265
2024-07-31,0.004233
2024-08-31,0.004114
2024-09-30,0.003851
2024-10-31,0.003683
2024-11-30,0.003611
2024-12-31,0.003491
2025-01-31,0.003442
