Date,Wealth
2015-01-31,10000.000000
2015-02-28,10762.940710
2015-03-31,10497.160962
2015-04-30,11168.224247
2015-05-31,11320.040457
2015-06-30,11102.906091
2015-07-31,11705.305311
2015-08-31,11014.091206
2015-09-30,10833.471529
2015-10-31,12213.944481
2015-11-30,12536.099519
2015-12-31,12184.027582
2016-01-31,11325.284641
2016-02-29,11031.380443
2016-03-31,11990.743478
2016-04-30,11737.647314
2016-05-31,12388.172423
2016-06-30,12180.896908
2016-07-31,13041.694274
2016-08-31,13240.955640
2016-09-30,13684.110824
2016-10-31,13477.148173
2016-11-30,13716.257136
2016-12-31,14065.647178
2017-01-31,14648.089220
2017-02-28,15275.921637
2017-03-31,15668.538984
2017-04-30,15994.968533
2017-05-31,16519.070141
2017-06-30,16330.437005
2017-07-31,16777.833149
2017-08-31,17195.255275
2017-09-30,17192.129376
2017-10-31,18547.966623
2017-11-30,19147.352886
2017-12-31,19159.477185
2018-01-31,20778.603212
2018-02-28,20893.046778
2018-03-31,20296.324733
2018-04-30,20728.426300
2018-05-31,22067.793643
2018-06-30,22258.027577
2018-07-31,23160.992701
2018-08-31,25342.401034
2018-09-30,25281.029970
2018-10-31,22865.269933
2018-11-30,22658.714253
2018-12-31,20304.138844
2019-01-31,22013.043537
2019-02-28,22719.139013
2019-03-31,23776.180702
2019-04-30,25302.193560
2019-05-31,23303.874737
2019-06-30,25260.993710
2019-07-31,25773.763753
2019-08-31,25175.831984
2019-09-30,25671.156951
2019-10-31,26773.122901
2019-11-30,27992.087520
2019-12-31,29241.884381
2020-01-31,30348.603925
2020-02-29,27980.226357
2020-03-31,25736.908031
2020-04-30,29989.064443
2020-05-31,31255.399425
2020-06-30,34003.111859
2020-07-31,36777.046864
2020-08-31,40706.277148
2020-09-30,38039.740753
2020-10-31,37005.506878
2020-11-30,40633.172665
2020-12-31,43113.233329
2021-01-31,43631.084709
2021-02-28,43446.482383
2021-03-31,44156.708697
2021-04-30,47134.989444
2021-05-31,46010.202741
2021-06-30,48703.009591
2021-07-31,49405.120198
2021-08-31,51371.225222
2021-09-30,48666.993404
2021-10-31,52310.049500
2021-11-30,53276.793640
2021-12-31,54462.219047
2022-01-31,50737.605670
2022-02-28,49887.316404
2022-03-31,51882.060246
2022-04-30,45435.763042
2022-05-31,44516.552435
2022-06-30,40782.980719
2022-07-31,46900.913026
2022-08-31,44843.688843
2022-09-30,40108.857343
2022-10-31,41758.953549
2022-11-30,42504.258672
2022-12-31,38770.075470
2023-01-31,42900.260994
2023-02-28,42072.426133
2023-03-31,45066.222376
2023-04-30,46090.907762
2023-05-31,48460.919943
2023-06-30,51900.963386
2023-07-31,53131.093081
2023-08-31,52075.998579
2023-09-30,48799.411784
2023-10-31,49037.097315
2023-11-30,54115.116827
2023-12-31,56375.833743
2024-01-31,56527.061143
2024-02-29,59592.365068
2024-03-31,60203.361546
2024-04-30,57555.126823
2024-05-31,61095.992920
2024-06-30,64624.408880
2024-07-31,65573.646769
2024-08-31,65473.821488
2024-09-30,67013.266833
2024-10-31,65555.019982
2024-11-30,70557.362819
2024-12-31,70491.538141
2025-01-31,71370.493876
